source,target,type
0,1,undirected
0,2,undirected
0,3,undirected
0,4,undirected
0,5,undirected
0,6,undirected
0,7,undirected
0,8,undirected
0,9,undirected
0,10,undirected
0,11,undirected
0,12,undirected
0,13,undirected
0,14,undirected
0,15,undirected
0,16,undirected
0,17,undirected
0,18,undirected
0,19,undirected
0,20,undirected
0,21,undirected
0,22,undirected
0,23,undirected
0,24,undirected
0,25,undirected
0,26,undirected
0,27,undirected
0,28,undirected
0,29,undirected
0,30,undirected
0,31,undirected
0,32,undirected
0,33,undirected
0,34,undirected
0,35,undirected
0,36,undirected
0,37,undirected
0,38,undirected
0,39,undirected
0,40,undirected
0,41,undirected
0,42,undirected
0,43,undirected
0,44,undirected
0,45,undirected
0,46,undirected
0,47,undirected
0,48,undirected
0,49,undirected
0,50,undirected
0,51,undirected
0,52,undirected
0,53,undirected
0,54,undirected
0,55,undirected
0,56,undirected
0,57,undirected
0,58,undirected
0,59,undirected
0,60,undirected
0,61,undirected
0,62,undirected
0,63,undirected
0,64,undirected
0,65,undirected
0,66,undirected
0,67,undirected
0,68,undirected
0,69,undirected
0,70,undirected
0,71,undirected
0,72,undirected
0,73,undirected
0,74,undirected
0,75,undirected
0,76,undirected
0,77,undirected
0,78,undirected
0,79,undirected
0,80,undirected
0,81,undirected
0,82,undirected
0,83,undirected
0,84,undirected
0,85,undirected
0,86,undirected
0,87,undirected
0,88,undirected
0,89,undirected
0,90,undirected
0,91,undirected
0,92,undirected
0,93,undirected
0,94,undirected
0,95,undirected
0,96,undirected
0,97,undirected
0,98,undirected
0,99,undirected
0,100,undirected
0,101,undirected
0,102,undirected
0,103,undirected
0,104,undirected
0,105,undirected
0,106,undirected
0,107,undirected
0,108,undirected
0,109,undirected
0,110,undirected
0,111,undirected
0,112,undirected
0,113,undirected
0,114,undirected
0,115,undirected
0,116,undirected
0,117,undirected
0,118,undirected
0,119,undirected
0,120,undirected
0,121,undirected
0,122,undirected
0,123,undirected
0,124,undirected
0,125,undirected
0,126,undirected
0,127,undirected
0,128,undirected
0,129,undirected
0,130,undirected
