source,target,type
255,296,undirected
112,162,undirected
147,176,undirected
246,250,undirected
152,187,undirected
152,174,undirected
48,65,undirected
152,192,undirected
130,182,undirected
293,299,undirected
311,320,undirected
261,268,undirected
120,166,undirected
118,183,undirected
123,167,undirected
217,297,undirected
219,263,undirected
119,152,undirected
144,162,undirected
118,157,undirected
255,276,undirected
67,253,undirected
176,202,undirected
109,230,undirected
261,311,undirected
96,152,undirected
254,276,undirected
248,311,undirected
26,29,undirected
39,47,undirected
83,248,undirected
284,306,undirected
261,263,undirected
292,296,undirected
240,255,undirected
232,258,undirected
118,203,undirected
78,79,undirected
177,310,undirected
131,146,undirected
67,176,undirected
56,58,undirected
132,230,undirected
10,12,undirected
183,201,undirected
246,261,undirected
217,219,undirected
290,293,undirected
8,16,undirected
47,177,undirected
118,217,undirected
117,152,undirected
212,221,undirected
232,256,undirected
172,201,undirected
108,116,undirected
177,321,undirected
299,325,undirected
182,263,undirected
167,299,undirected
150,321,undirected
109,219,undirected
141,157,undirected
147,292,undirected
230,297,undirected
109,146,undirected
118,155,undirected
144,197,undirected
201,316,undirected
176,292,undirected
174,306,undirected
137,255,undirected
67,94,undirected
144,250,undirected
246,313,undirected
26,31,undirected
55,63,undirected
92,119,undirected
180,182,undirected
178,201,undirected
50,55,undirected
40,46,undirected
255,284,undirected
261,283,undirected
217,311,undirected
147,221,undirected
109,307,undirected
60,65,undirected
119,301,undirected
146,218,undirected
261,277,undirected
52,67,undirected
64,65,undirected
118,163,undirected
261,303,undirected
217,293,undirected
112,230,undirected
51,67,undirected
177,230,undirected
58,59,undirected
176,258,undirected
174,255,undirected
205,213,undirected
118,288,undirected
273,322,undirected
223,255,undirected
284,293,undirected
119,176,undirected
45,61,undirected
83,201,undirected
119,217,undirected
250,261,undirected
131,248,undirected
261,313,undirected
150,212,undirected
328,329,undirected
125,299,undirected
118,166,undirected
169,258,undirected
172,198,undirected
221,311,undirected
71,73,undirected
161,191,undirected
131,217,undirected
123,307,undirected
313,318,undirected
118,133,undirected
166,311,undirected
8,35,undirected
182,209,undirected
241,261,undirected
230,299,undirected
197,251,undirected
183,258,undirected
286,301,undirected
94,217,undirected
69,118,undirected
162,176,undirected
118,186,undirected
260,284,undirected
162,284,undirected
74,201,undirected
59,64,undirected
182,293,undirected
201,258,undirected
261,288,undirected
118,221,undirected
55,61,undirected
118,154,undirected
149,152,undirected
7,8,undirected
133,152,undirected
152,311,undirected
112,310,undirected
77,118,undirected
172,293,undirected
51,166,undirected
67,255,undirected
104,144,undirected
67,133,undirected
65,255,undirected
147,293,undirected
176,311,undirected
177,260,undirected
217,240,undirected
251,258,undirected
232,261,undirected
166,242,undirected
230,260,undirected
91,162,undirected
230,284,undirected
113,174,undirected
166,168,undirected
47,232,undirected
230,272,undirected
99,112,undirected
162,288,undirected
67,201,undirected
150,263,undirected
166,313,undirected
47,248,undirected
123,182,undirected
144,201,undirected
159,261,undirected
8,313,undirected
182,203,undirected
67,166,undirected
201,232,undirected
65,108,undirected
65,253,undirected
119,221,undirected
152,201,undirected
147,300,undirected
159,161,undirected
258,288,undirected
166,181,undirected
215,255,undirected
197,250,undirected
173,248,undirected
82,144,undirected
162,174,undirected
127,255,undirected
174,284,undirected
201,246,undirected
182,305,undirected
176,301,undirected
118,146,undirected
150,296,undirected
152,189,undirected
219,293,undirected
179,292,undirected
177,204,undirected
147,219,undirected
217,292,undirected
203,219,undirected
219,233,undirected
72,152,undirected
169,261,undirected
112,261,undirected
65,151,undirected
109,177,undirected
109,321,undirected
152,156,undirected
200,213,undirected
306,311,undirected
255,293,undirected
239,261,undirected
300,307,undirected
261,304,undirected
258,296,undirected
109,166,undirected
183,248,undirected
130,145,undirected
4,8,undirected
131,150,undirected
225,232,undirected
261,270,undirected
3,5,undirected
255,300,undirected
45,144,undirected
70,118,undirected
146,167,undirected
224,261,undirected
127,137,undirected
189,192,undirected
139,167,undirected
261,293,undirected
176,310,undirected
118,119,undirected
45,55,undirected
126,152,undirected
47,65,undirected
131,166,undirected
234,255,undirected
63,166,undirected
112,296,undirected
147,150,undirected
254,288,undirected
81,144,undirected
248,263,undirected
262,276,undirected
150,320,undirected
182,256,undirected
232,239,undirected
266,281,undirected
201,276,undirected
177,263,undirected
67,76,undirected
167,182,undirected
166,248,undirected
47,253,undirected
281,286,undirected
314,317,undirected
172,182,undirected
63,67,undirected
182,232,undirected
256,292,undirected
257,261,undirected
152,301,undirected
152,218,undirected
179,221,undirected
159,230,undirected
118,197,undirected
166,288,undirected
166,216,undirected
91,118,undirected
146,202,undirected
67,159,undirected
176,192,undirected
118,134,undirected
40,55,undirected
65,176,undirected
258,264,undirected
230,292,undirected
101,152,undirected
142,293,undirected
109,232,undirected
245,246,undirected
118,172,undirected
67,179,undirected
147,166,undirected
152,182,undirected
169,197,undirected
119,146,undirected
29,47,undirected
45,67,undirected
137,176,undirected
143,311,undirected
62,67,undirected
192,217,undirected
112,137,undirected
217,286,undirected
159,176,undirected
146,189,undirected
166,297,undirected
159,174,undirected
112,136,undirected
258,297,undirected
146,299,undirected
47,263,undirected
80,146,undirected
217,271,undirected
109,152,undirected
230,234,undirected
232,288,undirected
109,261,undirected
255,267,undirected
162,321,undirected
202,212,undirected
245,258,undirected
90,182,undirected
112,311,undirected
167,255,undirected
144,245,undirected
159,167,undirected
167,307,undirected
144,299,undirected
147,306,undirected
67,311,undirected
143,221,undirected
201,263,undirected
150,306,undirected
179,310,undirected
59,65,undirected
248,255,undirected
221,301,undirected
61,63,undirected
182,258,undirected
29,33,undirected
46,62,undirected
144,274,undirected
221,307,undirected
123,217,undirected
179,189,undirected
230,288,undirected
250,258,undirected
47,131,undirected
144,246,undirected
201,250,undirected
67,71,undirected
201,251,undirected
189,261,undirected
144,263,undirected
77,94,undirected
112,179,undirected
186,230,undirected
230,306,undirected
166,301,undirected
190,202,undirected
152,248,undirected
63,144,undirected
65,83,undirected
126,217,undirected
261,291,undirected
94,159,undirected
216,293,undirected
167,293,undirected
167,191,undirected
161,179,undirected
109,248,undirected
176,255,undirected
182,198,undirected
118,273,undirected
118,137,undirected
177,258,undirected
11,13,undirected
183,263,undirected
174,321,undirected
125,147,undirected
182,292,undirected
158,161,undirected
183,213,undirected
112,301,undirected
155,171,undirected
142,261,undirected
51,82,undirected
76,118,undirected
298,300,undirected
147,167,undirected
233,263,undirected
131,177,undirected
131,153,undirected
39,142,undirected
118,246,undirected
293,308,undirected
67,230,undirected
118,256,undirected
298,299,undirected
67,153,undirected
152,293,undirected
128,261,undirected
8,248,undirected
157,255,undirected
197,253,undirected
301,321,undirected
95,112,undirected
240,256,undirected
65,144,undirected
286,299,undirected
172,232,undirected
203,250,undirected
142,233,undirected
301,306,undirected
182,230,undirected
161,189,undirected
150,201,undirected
262,296,undirected
248,293,undirected
65,197,undirected
120,130,undirected
181,219,undirected
233,258,undirected
143,170,undirected
203,288,undirected
262,275,undirected
144,182,undirected
112,126,undirected
232,283,undirected
109,255,undirected
288,293,undirected
67,261,undirected
261,292,undirected
118,229,undirected
118,150,undirected
248,313,undirected
8,30,undirected
47,258,undirected
118,130,undirected
118,169,undirected
274,293,undirected
169,246,undirected
112,263,undirected
261,282,undirected
162,237,undirected
150,322,undirected
251,261,undirected
75,116,undirected
174,273,undirected
166,245,undirected
118,177,undirected
313,317,undirected
83,144,undirected
261,275,undirected
131,299,undirected
167,258,undirected
93,152,undirected
201,217,undirected
150,219,undirected
169,263,undirected
287,311,undirected
201,203,undirected
100,137,undirected
85,144,undirected
261,306,undirected
96,118,undirected
284,300,undirected
144,219,undirected
144,255,undirected
231,258,undirected
212,255,undirected
159,255,undirected
72,162,undirected
176,219,undirected
197,263,undirected
94,131,undirected
219,299,undirected
118,260,undirected
118,164,undirected
311,321,undirected
95,118,undirected
198,219,undirected
119,306,undirected
118,258,undirected
216,261,undirected
255,321,undirected
146,284,undirected
118,158,undirected
67,197,undirected
221,260,undirected
122,163,undirected
147,249,undirected
67,82,undirected
293,307,undirected
258,313,undirected
221,284,undirected
111,118,undirected
255,273,undirected
245,261,undirected
201,313,undirected
299,306,undirected
111,161,undirected
94,310,undirected
176,284,undirected
80,152,undirected
174,293,undirected
45,54,undirected
57,70,undirected
255,265,undirected
105,182,undirected
229,274,undirected
144,203,undirected
314,316,undirected
71,111,undirected
242,248,undirected
166,172,undirected
94,263,undirected
8,112,undirected
118,120,undirected
182,196,undirected
164,182,undirected
45,142,undirected
75,151,undirected
312,318,undirected
103,152,undirected
92,147,undirected
91,221,undirected
172,248,undirected
255,281,undirected
94,152,undirected
123,301,undirected
86,144,undirected
276,288,undirected
112,307,undirected
67,313,undirected
316,319,undirected
124,201,undirected
4,47,undirected
47,203,undirected
100,112,undirected
112,119,undirected
91,255,undirected
157,221,undirected
166,197,undirected
8,36,undirected
262,288,undirected
221,230,undirected
148,182,undirected
152,157,undirected
293,297,undirected
131,182,undirected
41,67,undirected
67,146,undirected
118,296,undirected
144,253,undirected
293,306,undirected
189,256,undirected
147,152,undirected
92,174,undirected
8,38,undirected
176,189,undirected
95,101,undirected
150,182,undirected
146,230,undirected
201,255,undirected
112,299,undirected
94,162,undirected
172,216,undirected
202,255,undirected
68,118,undirected
217,306,undirected
248,276,undirected
221,299,undirected
152,306,undirected
47,261,undirected
118,232,undirected
147,162,undirected
67,128,undirected
83,118,undirected
230,238,undirected
103,115,undirected
45,83,undirected
176,271,undirected
215,230,undirected
284,298,undirected
140,182,undirected
327,329,undirected
47,48,undirected
22,26,undirected
225,296,undirected
135,139,undirected
154,182,undirected
65,142,undirected
232,292,undirected
101,146,undirected
95,179,undirected
150,324,undirected
161,162,undirected
201,261,undirected
144,261,undirected
67,120,undirected
245,263,undirected
229,261,undirected
2,8,undirected
119,182,undirected
82,130,undirected
167,301,undirected
118,168,undirected
152,191,undirected
162,249,undirected
112,177,undirected
150,152,undirected
93,100,undirected
147,301,undirected
253,263,undirected
